Test_Set,RMSE,R2
Set_1,0.6991162405797813,0.7344209134759389
Set_2,0.470499780183369,0.8032584544181595
Set_3,0.5745945060792691,0.6752107476427484
Set_4,0.5021251492714758,0.7830648115659743
Set_5,0.5669786305124314,0.6737432059645779
Set_6,0.5302629148545154,0.7516927451608386
Set_7,0.65466797403944,0.6871281378371568
Set_8,0.479233283593223,0.8080864583551789
Set_9,0.5938405895768978,0.7568867035700609
Set_10,0.531087166975283,0.7345756655576945
Set_11,0.6061075022347234,0.7056721789548925
Set_12,0.81089736268667,0.6738239286234305
Set_13,0.4660575498563518,0.6976331298050256
Set_14,0.4249106922930938,0.8114518044141181
Set_15,0.5191539557927509,0.7503362240955841
Set_16,0.6358788858647723,0.6099463561472516
Set_17,0.844124779665637,0.6143452766248456
Set_18,0.4487884144276934,0.6811650148384809
Set_19,0.6565892858351129,0.7598724026370564
Set_20,0.5751710682323455,0.5575945860832026
Set_21,0.6158789238462118,0.7432566967853781
Set_22,0.4534885953246264,0.7480165574794342
Set_23,0.5864280598251185,0.6973677925939293
Set_24,0.5915241802077774,0.6218675998576791
Set_25,0.6109314521210113,0.7811060846209188
