Test_Set,RMSE,R2
Set_1,0.7049829313382671,0.7299449547760021
Set_2,0.3884682856973741,0.8658815989261517
Set_3,0.4629891565437998,0.7891273039919742
Set_4,0.3548616176722418,0.8916511908506519
Set_5,0.4937885271984292,0.752538196631072
Set_6,0.4371192272170124,0.8312644005369563
Set_7,0.5986707301542258,0.7383622740255598
Set_8,0.4497518593721055,0.8309724061434884
Set_9,0.4183516115871485,0.8793431876955786
Set_10,0.3974291683701805,0.8513624161181297
Set_11,0.5284309041332613,0.7762781443231754
Set_12,0.7161920507968308,0.7455635576827652
Set_13,0.3762224231679313,0.8029645083994736
Set_14,0.3610461035938531,0.8638704571251392
Set_15,0.5740599913582015,0.6947344754435787
Set_16,0.4075008900809485,0.8398110101648353
Set_17,0.6537665282264662,0.7686706596698919
Set_18,0.3633327285929884,0.7910262498577356
Set_19,0.5824850637576671,0.8110164167553399
Set_20,0.3909828756154859,0.7955712911795468
Set_21,0.5587503992237312,0.7886782819446669
Set_22,0.3354998871311547,0.8620810279199189
Set_23,0.519451804368739,0.7625478103039449
Set_24,0.5201259541716821,0.7076413568081567
Set_25,0.5476556747922504,0.8241007832471883
