Test_Set,RMSE,R2
Set_1,0.7682683093566303,0.6792837714502941
Set_2,0.516022309743374,0.7633458194375964
Set_3,0.5869264755928348,0.6611198638313346
Set_4,0.4415641875385531,0.8322379297952893
Set_5,0.629789055149487,0.597453185211112
Set_6,0.5854857546168027,0.6972810761735744
Set_7,0.694614968153346,0.6477811463811247
Set_8,0.52681115723344,0.7680888638853169
Set_9,0.5195147176288434,0.8139350087961403
Set_10,0.4505499097463868,0.8089729013555134
Set_11,0.5503618997939425,0.7573229439892135
Set_12,0.9220302478191116,0.5782931569757137
Set_13,0.5030471140473561,0.647732622480421
Set_14,0.4918553984407252,0.7473600999682088
Set_15,0.5628001125426823,0.7065922677582084
Set_16,0.538274042655862,0.7204996136449384
Set_17,0.8520800082093343,0.6070420174066972
Set_18,0.5399737378853262,0.5384402090009993
Set_19,0.6435657808075707,0.7693038316704993
Set_20,0.5455467204524435,0.6019933663269518
Set_21,0.7308279255240117,0.6384746821800631
Set_22,0.4846534961953597,0.7121925957491078
Set_23,0.6032911029863023,0.6797128635885948
Set_24,0.5239193395184827,0.7033613397479459
Set_25,0.6580819589281299,0.7460146403886804
