Test_Set,RMSE,R2
Set_1,0.7298778175854338,0.7105354091032919
Set_2,0.4910361622874811,0.7857088864869022
Set_3,0.5591354885526331,0.6924520698154024
Set_4,0.5041148799783676,0.7813421421315629
Set_5,0.6306758184841964,0.5963188001825748
Set_6,0.5718546354557635,0.7112126348166278
Set_7,0.8057469052864812,0.5260618030906592
Set_8,0.5510784840592697,0.7462310073621699
Set_9,0.5465063717137182,0.7940985856679945
Set_10,0.518005494666441,0.7474904225098435
Set_11,0.6577231116284731,0.6534082908478449
Set_12,0.8385029466626779,0.65123771173906
Set_13,0.4331142220104517,0.7388680869192668
Set_14,0.5224104402599143,0.7149961094521318
Set_15,0.5884328951600467,0.6792570985862476
Set_16,0.495639061630155,0.7630227898873283
Set_17,0.7775399455925133,0.6727868054466659
Set_18,0.5629634852688729,0.4983010566061397
Set_19,0.6959424492738185,0.7302253753408043
Set_20,0.6463126917384727,0.4413861016300049
Set_21,0.6670613982516267,0.6988102984755225
Set_22,0.4942122789342634,0.7007278328145479
Set_23,0.6862846165079775,0.585528976629917
Set_24,0.5291364279694094,0.6974242098064294
Set_25,0.6298698742926806,0.7673246721253671
