Test_Set,RMSE,R2
Set_1,0.0516417339183393,0.9785970479752418
Set_2,0.0925992567634661,0.93020728783242
Set_3,0.1018950653468966,0.9337508063117128
Set_4,0.078857678131822,0.946400216578186
Set_5,0.0581017410663084,0.9741307000254132
Set_6,0.1028850037995686,0.9085068277529278
Set_7,0.1079541988385641,0.9247882529326916
Set_8,0.1469343378070766,0.8538938878401762
Set_9,0.0749443657041181,0.9446004736073756
Set_10,0.0815813325867119,0.9370836677280427
Set_11,0.1379287729863261,0.8421578610872616
Set_12,0.1160198080272016,0.918073201688586
Set_13,0.0459933380973824,0.9747673127169546
Set_14,0.0739582971135761,0.9613312255455416
Set_15,0.0586521753598915,0.9707796802186078
Set_16,0.0496288160559415,0.9834428799327632
Set_17,0.0686355912804975,0.967730863365456
Set_18,0.0947804171464794,0.9221231179062706
Set_19,0.0767044444420872,0.9513864631136286
Set_20,0.0960526760824016,0.9181253066943036
Set_21,0.0734673232944311,0.9569948826273442
Set_22,0.1016897155517686,0.914205124466162
Set_23,0.1252757076752882,0.8932025154544202
Set_24,0.0797461148301273,0.9518256073613482
Set_25,0.0842211124924407,0.9436378960929968
