Test_Set,RMSE,R2
Set_1,0.0417252499319932,0.9860276328038904
Set_2,0.0589598777546394,0.9717051014044292
Set_3,0.0757801557173657,0.9633574819227466
Set_4,0.0526576849161007,0.9760999669498668
Set_5,0.0393764164312342,0.9881182952577604
Set_6,0.0822036526319216,0.9415927459955206
Set_7,0.1016939441013988,0.9332583657752218
Set_8,0.0397722848929828,0.989295094477462
Set_9,0.0387427414956089,0.9851949889920106
Set_10,0.038518691801264,0.9859742898159916
Set_11,0.09084867774885,0.9315220918647158
Set_12,0.0841966878774261,0.9568528890914848
Set_13,0.0318511242159156,0.987898947064074
Set_14,0.0565211040132106,0.9774156384327112
Set_15,0.061063957839029,0.9683271910297692
Set_16,0.046535290118344,0.9854426671891452
Set_17,0.0492857705445957,0.9833608275790512
Set_18,0.065987753287588,0.9622516489661952
Set_19,0.0680461504862719,0.9617419222108722
Set_20,0.0626070950455153,0.965216126521487
Set_21,0.0636458268749977,0.9677245955683144
Set_22,0.0421962413812077,0.9852274710496114
Set_23,0.0747632568572672,0.9619632276703364
Set_24,0.0411346788956807,0.987182206528592
Set_25,0.0513334262687565,0.9790614904688938
