Test_Set,RMSE,R2
Set_1,0.0855369154643881,0.9412809242268784
Set_2,0.0909427529402857,0.9326819907579948
Set_3,0.1228370482386849,0.903720674607872
Set_4,0.1006444391424648,0.9126918821625152
Set_5,0.06810881250285,0.9644521783188048
Set_6,0.1271047405152882,0.8603605830708978
Set_7,0.1210628409708165,0.9054136808948512
Set_8,0.0923688585226483,0.94226051147748
Set_9,0.0627428080178276,0.9611710205529448
Set_10,0.084787001313399,0.9320420348551642
Set_11,0.1164489722377155,0.8874917086848485
Set_12,0.1096101297053117,0.9268754707712488
Set_13,0.0670566576599469,0.9463638688531244
Set_14,0.1074243983629078,0.9184183536313828
Set_15,0.0902091718080706,0.9308777128202792
Set_16,0.0725790059800285,0.96458893353606
Set_17,0.0798812110088138,0.9562902959126128
Set_18,0.1417912283131016,0.8257109706356025
Set_19,0.0988300171692612,0.9192962142353148
Set_20,0.1279270232874524,0.8547703341459236
Set_21,0.1110600134229527,0.9017240737554332
Set_22,0.0863365206155763,0.93815617010838
Set_23,0.1322443375146884,0.880990545233074
Set_24,0.0904974829790278,0.9379602298556154
Set_25,0.0985086321491383,0.922892995975493
