Test_Set,RMSE,R2
Set_1,0.0980283800946825,0.9228784590125598
Set_2,0.0819487600832049,0.9453387136808116
Set_3,0.1340874578850708,0.8852769704778463
Set_4,0.1549874211830146,0.7929534645032736
Set_5,0.0699684167698048,0.9624845225927056
Set_6,0.0972454140392305,0.9182622291856056
Set_7,0.1244335860088028,0.9000732336915164
Set_8,0.0669924894419353,0.969627956214724
Set_9,0.0710876515152344,0.9501555957891612
Set_10,0.1103041732720352,0.8849820308091488
Set_11,0.169271544777763,0.7622715673141515
Set_12,0.1055952691572414,0.93213425498937
Set_13,0.0617806108443677,0.9544720558744964
Set_14,0.1131448475643046,0.90949841915327
Set_15,0.1229649260515619,0.8715662327361342
Set_16,0.069967553854976,0.96709132853154
Set_17,0.0918348475958648,0.942229835210024
Set_18,0.0943857971096015,0.9227702516252616
Set_19,0.1122304297053905,0.8959271582375143
Set_20,0.0877685716422566,0.931638936674606
Set_21,0.0783096219773265,0.9511390442029176
Set_22,0.1041549695568801,0.9099948673888996
Set_23,0.1036059758231117,0.9269539215691216
Set_24,0.083902683563982,0.9466727874093817
Set_25,0.1083057243985811,0.9067930983433308
