Test_Set,RMSE,R2
Set_1,0.3463766688646258,0.875899652855301
Set_2,0.4282488857171807,0.8542538206496577
Set_3,0.2744844974637045,0.9294755453086688
Set_4,0.3516116307949793,0.904905150292046
Set_5,0.3110255171576035,0.9258000556864796
Set_6,0.4006924143411307,0.8650257532936945
Set_7,0.3262857601675212,0.8886410104877984
Set_8,0.3100274306901434,0.9109652160069736
Set_9,0.3936575908995217,0.8793643659362965
Set_10,0.3449442750529206,0.9106930196982296
Set_11,0.3768425146798239,0.8608241759306193
Set_12,0.3783220824243987,0.8840750548258838
Set_13,0.3149493678033663,0.9305749845503716
Set_14,0.496084506949741,0.8015948296428779
Set_15,0.3535193092620934,0.8718147696752744
Set_16,0.3608873457385803,0.8848014482076392
Set_17,0.327742053675923,0.9056405778132924
Set_18,0.3710714065253553,0.8937229437097465
Set_19,0.3723337191251386,0.854351477426645
Set_20,0.3890272074141362,0.8819972676249371
Set_21,0.2978750607564126,0.9228395783158162
Set_22,0.3448760740963847,0.8786929275200458
Set_23,0.3918319724688834,0.8876788744801014
Set_24,0.3709893677812882,0.8796026442793791
Set_25,0.3692837907683355,0.8778664294782275
