Test_Set,RMSE,R2
Set_1,0.3570165102544624,0.8681584335889408
Set_2,0.3690039347486203,0.8917901792333468
Set_3,0.2492196548039547,0.941860848757622
Set_4,0.2998719988554159,0.9308324610069424
Set_5,0.2799293903055539,0.9398952941065524
Set_6,0.3007427666092893,0.923964044252362
Set_7,0.2778766708865686,0.91923313892017
Set_8,0.3153472836952845,0.9078834567860208
Set_9,0.33061029495153,0.9149114585330418
Set_10,0.3227244720302563,0.9218279818348056
Set_11,0.3158222628469232,0.9022471318533766
Set_12,0.3784295932386406,0.8840091657470134
Set_13,0.290234157947801,0.9410435238324004
Set_14,0.3917058390921001,0.8763022710842601
Set_15,0.241485900023515,0.9401870454601112
Set_16,0.2767463400781366,0.9322565315110536
Set_17,0.2825239357734902,0.929881691608944
Set_18,0.3402048823332511,0.9106683088538856
Set_19,0.300414107624008,0.9051839164958608
Set_20,0.3771509763731103,0.8890920671873663
Set_21,0.389814073081585,0.8678578795911199
Set_22,0.2605357731248846,0.9307699440836632
Set_23,0.2808794059871946,0.9422832954908762
Set_24,0.2636098517943449,0.9392120799689752
Set_25,0.2992226914075466,0.9198130685786218
