Test_Set,RMSE,R2
Set_1,0.3931834564488091,0.8400934603341934
Set_2,0.4373707835707703,0.8479787773427541
Set_3,0.3052201639811891,0.9127971770931692
Set_4,0.3519348883143439,0.9047302260400018
Set_5,0.298359570901561,0.931720329629136
Set_6,0.4399765769939348,0.8372624585643383
Set_7,0.3524337389463405,0.8700776171256598
Set_8,0.3241305142916543,0.9026806327190188
Set_9,0.3814182777870378,0.8867491854445917
Set_10,0.3821693797129674,0.8903776003590834
Set_11,0.4149827841767652,0.8312265257446341
Set_12,0.3510443956349113,0.9001891893648344
Set_13,0.3723789015711548,0.9029479741930282
Set_14,0.4980069366245281,0.8000541386349739
Set_15,0.3546940192904698,0.8709614612511165
Set_16,0.3632171818620273,0.8833092513801611
Set_17,0.2946128082628767,0.923752749846844
Set_18,0.3617636514671872,0.8989876853987359
Set_19,0.4210745069836452,0.8137229856106329
Set_20,0.4667739654531038,0.8301187764567464
Set_21,0.3709512570887879,0.8803369849407586
Set_22,0.3579528087573471,0.8693192844638684
Set_23,0.382906233832718,0.8927378242211977
Set_24,0.2988944588539909,0.9218498642733536
Set_25,0.3371863534262952,0.8981749758044567
