Test_Set,RMSE,R2
Set_1,0.4622317841176347,0.7789984374211323
Set_2,0.3877757863390453,0.8805005050122888
Set_3,0.3367881873586864,0.8938260938006538
Set_4,0.3828497165688255,0.8872576218885219
Set_5,0.3245498938420212,0.9192068612588744
Set_6,0.4164834710117181,0.8541776101976282
Set_7,0.3574733898883713,0.8663353770631135
Set_8,0.3709382471695999,0.8725432917775462
Set_9,0.5054618599800765,0.8011089993508878
Set_10,0.3721033934784246,0.8960762562389172
Set_11,0.3963577298048401,0.8460361793717935
Set_12,0.3587039744204065,0.8957860413015919
Set_13,0.4558415747241037,0.8545671993419197
Set_14,0.4594200157647686,0.8298384306125792
Set_15,0.3710828894185169,0.8587613469461921
Set_16,0.4341521645697747,0.8332800188463874
Set_17,0.3433831451848029,0.896419290923005
Set_18,0.3151576595043027,0.9233379781567324
Set_19,0.4283841367241979,0.8071995214816599
Set_20,0.4729127264971251,0.8256210271862107
Set_21,0.4028501103134143,0.8588719703021862
Set_22,0.3461915140057382,0.8777657742632472
Set_23,0.4249252480752564,0.8679048783594614
Set_24,0.3730509007692122,0.8782608660178558
Set_25,0.3998690663514674,0.8567976382966624
