Test_Set,RMSE,R2
Set_1,0.7426655752820667,0.8573776213885419
Set_2,0.6453763204032785,0.8847359497830398
Set_3,0.6857453928867479,0.8963425445747044
Set_4,0.543339854567442,0.9114700928525312
Set_5,0.5503296389329532,0.9039378599197448
Set_6,0.5010243659908801,0.9312726135323874
Set_7,0.5786240723018444,0.9092126670650728
Set_8,0.690991019491185,0.8764366030353947
Set_9,0.6772308149139198,0.8672972002627042
Set_10,0.5774305289913758,0.9095921503027228
Set_11,0.6070467150708703,0.909844295820058
Set_12,0.5508327273916912,0.9260286001204726
Set_13,0.6014503739301836,0.8880188775964643
Set_14,0.5658606275968796,0.9178954335329192
Set_15,0.6084565771429523,0.8722241767339515
Set_16,0.7267976218632161,0.836160232881128
Set_17,0.5851389076217361,0.917460865458179
Set_18,0.6218042469910114,0.8953315333683011
Set_19,0.5969068246052779,0.9155096076360588
Set_20,0.48313483566899,0.9302662914818458
Set_21,0.5251866681309402,0.9122890960302455
Set_22,0.6228760925645633,0.8911025523783356
Set_23,0.5678244888050952,0.911966762166288
Set_24,0.5996486566146584,0.8961157134288589
Set_25,0.6482947365016316,0.9015166486703512
