Test_Set,RMSE,R2
Set_1,0.5626955342442572,0.9181256164936052
Set_2,0.5250709501155405,0.9237036443647816
Set_3,0.5149494255992682,0.94154738950591
Set_4,0.5586898704554649,0.9063972750735564
Set_5,0.5225482735325516,0.9133917461852408
Set_6,0.4394913829729441,0.9471173921817434
Set_7,0.564803080729513,0.9134979545878646
Set_8,0.6001265337988434,0.906796831132086
Set_9,0.4871831594762763,0.9313261815765548
Set_10,0.6587978791268018,0.8823177287318005
Set_11,0.521933925469215,0.9333530872491324
Set_12,0.5190809704880852,0.9343107078418946
Set_13,0.6096425336217037,0.8849475857412893
Set_14,0.5092953157325802,0.9334898814519084
Set_15,0.5793375898406743,0.8841615002267251
Set_16,0.5144919671327243,0.9178987952348427
Set_17,0.5688180220507489,0.9220010655397396
Set_18,0.5900440080889345,0.9057508790897812
Set_19,0.5508277148758225,0.9280508271433758
Set_20,0.4805968887288546,0.9309970009762004
Set_21,0.4967158764013222,0.9215410875478954
Set_22,0.5409561044285222,0.917863080870398
Set_23,0.507660770966808,0.929633549331442
Set_24,0.5749283761954576,0.9045043432302632
Set_25,0.6163618829513285,0.9109796293459
