Test_Set,RMSE,R2
Set_1,0.719520152476525,0.8661288446176573
Set_2,0.5761238012625984,0.9081457075208772
Set_3,0.5371094853523232,0.936408307108934
Set_4,0.5849836646677363,0.8973794443971036
Set_5,0.5772591092535908,0.8943065591265738
Set_6,0.6143879465475005,0.8966530816988599
Set_7,0.6179783186207416,0.896443176267692
Set_8,0.6719118878168178,0.8831658825391804
Set_9,0.5514566510950403,0.9120107905402324
Set_10,0.6757960086441491,0.8761665825270362
Set_11,0.7055388039998858,0.8782158439329139
Set_12,0.5660726836286468,0.9218788257553582
Set_13,0.5459662075002789,0.9077265503366344
Set_14,0.5657253009709555,0.917934704104658
Set_15,0.6114931344913278,0.8709456497529509
Set_16,0.8062055256070347,0.798403090886611
Set_17,0.5797566855888797,0.918972304731092
Set_18,0.5356178262511799,0.9223362162769052
Set_19,0.6681748115577634,0.8941296278257478
Set_20,0.6229552351524544,0.8840636195121744
Set_21,0.5836711007505229,0.8916665476782303
Set_22,0.6246855570989599,0.8904689366054899
Set_23,0.5128131798406669,0.9281979576978288
Set_24,0.6437078953239703,0.880289074657347
Set_25,0.5919162706495464,0.917900902823192
