Test_Set,RMSE,R2
Set_1,0.5909562697446167,0.9096950003475728
Set_2,0.6928944693273196,0.8671376282190497
Set_3,0.6147861628504016,0.9166850527372626
Set_4,0.6255834806629783,0.8826407186173553
Set_5,0.5813458651143671,0.8928047296800268
Set_6,0.584196132052176,0.906560718735432
Set_7,0.6105176481305914,0.8989285007036517
Set_8,0.5527462468061575,0.920932751602544
Set_9,0.5616436383466001,0.9087299373117126
Set_10,0.7170680506401744,0.8605792539491446
Set_11,0.6423829535312056,0.8990428693246942
Set_12,0.6112730827201034,0.9089049223162128
Set_13,0.5661468043232638,0.9007790597595428
Set_14,0.533006740094135,0.9271526496066368
Set_15,0.739265484622918,0.8113788589132869
Set_16,0.6277423552053468,0.8777763643151519
Set_17,0.6259494486118755,0.9055459690825184
Set_18,0.6923046195486661,0.8702513169996727
Set_19,0.6390070824815081,0.9031709699009896
Set_20,0.7035353784194509,0.852130726313495
Set_21,0.5156406539284641,0.9154486586072694
Set_22,0.542027996622317,0.9175372535130676
Set_23,0.4590186977454108,0.9424720115498776
Set_24,0.6665476897947188,0.8716432871499964
Set_25,0.6971839270913999,0.8861029215142037
