Test_Set,RMSE,R2
Set_1,0.4442923215771091,0.9217647588964616
Set_2,0.4777797572185816,0.9024324918931822
Set_3,0.4246666496037347,0.924525021508041
Set_4,0.4645299212292013,0.8987895937645036
Set_5,0.7295776984475799,0.7835386008259025
Set_6,0.5018467522471265,0.8966070670371189
Set_7,0.4867770082063432,0.8959546406197574
Set_8,0.4417534376986284,0.9271553306681406
Set_9,0.4935073368586318,0.8870217240604237
Set_10,0.5341545957293087,0.882061635519066
Set_11,0.4688146928227789,0.9210246082343508
Set_12,0.494043947508908,0.8937257841207951
Set_13,0.4783747836409535,0.8975641940168867
Set_14,0.5198926534992423,0.8930400832739264
Set_15,0.5640171980082853,0.8695959379174741
Set_16,0.4702543792265019,0.919159787514351
Set_17,0.5190674190640941,0.8694660227953627
Set_18,0.450425035558535,0.9099449767224732
Set_19,0.5152997257252662,0.8854190080169111
Set_20,0.5338320476412464,0.8839668102325434
Set_21,0.5105921816405592,0.8960704660431611
Set_22,0.5200772038214326,0.8929242267234544
Set_23,0.4310716075649253,0.9071421781827372
Set_24,0.451270428960528,0.9187860886826976
Set_25,0.5736344690520546,0.8643707882886862
