Test_Set,RMSE,R2
Set_1,0.4381908316134105,0.9238988213972452
Set_2,0.4716700947269688,0.9049118483695014
Set_3,0.3969195510574576,0.9340656590991206
Set_4,0.4476313260370881,0.9060192891989964
Set_5,0.6802584585086895,0.8118148877929479
Set_6,0.5347229248613083,0.8826167237333976
Set_7,0.4484284602868603,0.9117023924419422
Set_8,0.4516229205200394,0.9238640361126182
Set_9,0.5094169621801257,0.8796199500458417
Set_10,0.4724411565617619,0.9077393286933788
Set_11,0.4315446316249192,0.9330823320796322
Set_12,0.4699247708106515,0.9038490854231171
Set_13,0.4987380686767941,0.8886576791456275
Set_14,0.527590064762442,0.8896790026547114
Set_15,0.4961264233767902,0.8991000055645513
Set_16,0.5432485123253192,0.8921155528056677
Set_17,0.4551790386508381,0.8996215374702736
Set_18,0.4079996879401779,0.9261105282613628
Set_19,0.4769256647305999,0.9018491324634678
Set_20,0.5096057690248674,0.894259437048717
Set_21,0.5020201542401126,0.8995307952885466
Set_22,0.5406364973171867,0.8842912226002586
Set_23,0.4490477223845452,0.8992361738718987
Set_24,0.4061509035802904,0.9342142965780847
Set_25,0.5584075468009542,0.8714756795320435
