Test_Set,RMSE,R2
Set_1,0.4678326669772303,0.9132547120798788
Set_2,0.4972115864983943,0.8943347457078019
Set_3,0.4510419520126426,0.9148586438232724
Set_4,0.4911492321888963,0.886857770450173
Set_5,0.7496395512253573,0.7714704618312129
Set_6,0.5250031426771831,0.8868453466741955
Set_7,0.5073893958292246,0.8869565590910606
Set_8,0.4594963388082831,0.9211862464885948
Set_9,0.5109909537730906,0.8788749028884562
Set_10,0.5496716658885359,0.8751099399539752
Set_11,0.4921015776802276,0.9129840488986252
Set_12,0.5247928604159037,0.880085256060337
Set_13,0.5045330371181636,0.8860552152616082
Set_14,0.5348679650590666,0.8867894576142018
Set_15,0.5800859722756213,0.8620597058407531
Set_16,0.4933022447746042,0.9110414025398604
Set_17,0.5406685028450772,0.8583755703380644
Set_18,0.4694592807818455,0.9021729938888716
Set_19,0.5365633394365187,0.875767637060725
Set_20,0.5622729090822499,0.8712737061578719
Set_21,0.5291468788902969,0.8883797131407856
Set_22,0.5390478379304987,0.8849702436779445
Set_23,0.4501550875367708,0.8987385902630468
Set_24,0.4771046656604876,0.9092212887994306
Set_25,0.5880161428162625,0.8574847768739663
