Test_Set,RMSE,R2
Set_1,0.5123021202127417,0.8959799371082531
Set_2,0.5458011712363925,0.8726735448368325
Set_3,0.5150789898801698,0.8889664160833721
Set_4,0.5717950292351446,0.8466518486313837
Set_5,0.786184922599834,0.7486454337011177
Set_6,0.5662908781079499,0.8683479141807283
Set_7,0.5814189417456558,0.8515634170617845
Set_8,0.5506343426500785,0.8868213551312981
Set_9,0.6457603327317673,0.8065581474288134
Set_10,0.592596525095945,0.8548425354588158
Set_11,0.5809972781588035,0.8787064932209413
Set_12,0.548402924360233,0.8690527831457969
Set_13,0.5349931894644855,0.8718815309530104
Set_14,0.5818305405286676,0.8660364264986293
Set_15,0.5464802533512211,0.8775791562885165
Set_16,0.6628501593226263,0.8393826435657296
Set_17,0.5431719571985526,0.857061008349517
Set_18,0.5479081214525853,0.8667465750815214
Set_19,0.5918887330490539,0.8488274638269846
Set_20,0.61420671854436,0.8463961601202724
Set_21,0.5992109780676265,0.8568635705624816
Set_22,0.5913431202169375,0.861568578061346
Set_23,0.5276796022048714,0.8608573543377389
Set_24,0.4846320700560081,0.906334213314242
Set_25,0.6472814082925483,0.8273092700049541
