Test_Set,RMSE,R2
Set_1,0.436259063707872,0.814859204910032
Set_2,0.4912011577316965,0.7924456077165253
Set_3,0.5530641813891203,0.7235734255357724
Set_4,0.3693869985962315,0.8314147315368177
Set_5,0.5018793461021089,0.6507138094076477
Set_6,0.4616553516460014,0.7566850468842877
Set_7,0.3871078061168482,0.8575852874077069
Set_8,0.4975082224428137,0.7624304667129403
Set_9,0.5225740876525695,0.6961292154860783
Set_10,0.5851587894218611,0.644700418119516
Set_11,0.4855022524179203,0.801732467660004
Set_12,0.4992417667868207,0.7896431419500731
Set_13,0.439699472650321,0.7794363653840788
Set_14,0.5319891858907224,0.5670588807267453
Set_15,0.4676839826432533,0.7747793270427998
Set_16,0.5282065670535347,0.7395780644193501
Set_17,0.5103942884716548,0.7403961131332141
Set_18,0.4911367777541705,0.7701376579759022
Set_19,0.511958499559079,0.6120704120164389
Set_20,0.4567635109320034,0.7853577704812811
Set_21,0.5664792899014455,0.7122592428102681
Set_22,0.4130567748883831,0.8408785222785863
Set_23,0.4126123642967551,0.8162176052168427
Set_24,0.3664656455811104,0.8465048757488183
Set_25,0.5119788010571305,0.7009625816685443
