Test_Set,RMSE,R2
Set_1,0.3658788910704793,0.8697769417951926
Set_2,0.4380079044189318,0.8349646272043607
Set_3,0.4829429560020252,0.7892243609938059
Set_4,0.3733042617144521,0.8278201453014806
Set_5,0.4113092138994139,0.7654045196425967
Set_6,0.4343010198215014,0.7846649177940175
Set_7,0.342003379227007,0.8888391542480975
Set_8,0.4161137092331474,0.8338063971244479
Set_9,0.410749483936364,0.8122641659329553
Set_10,0.5344788600531798,0.7035795016152648
Set_11,0.4091648933294208,0.8591795084679194
Set_12,0.543412132219651,0.7507738965073475
Set_13,0.3849240329444289,0.8309667778733411
Set_14,0.3484820159229887,0.8142263928623283
Set_15,0.3933050304390814,0.8407196582137264
Set_16,0.409172604363586,0.843727323030541
Set_17,0.4315820300184534,0.8143793749930204
Set_18,0.4839454668123151,0.7768196940194856
Set_19,0.4525429377989007,0.6968881054750145
Set_20,0.3522809728854778,0.8723235815359628
Set_21,0.495538661655565,0.7798146791059876
Set_22,0.3780217904808479,0.8667267634616878
Set_23,0.3292134684565385,0.8830030355467934
Set_24,0.3677678528128805,0.8454120736841993
Set_25,0.5118096164758674,0.7011601113659064
