Test_Set,RMSE,R2
Set_1,0.4389462948161948,0.8125713577594192
Set_2,0.4812888095928369,0.8007379153324837
Set_3,0.54279859038997,0.7337398504038471
Set_4,0.38593267759894,0.8159738460337057
Set_5,0.4829868729665624,0.6765155443887272
Set_6,0.4585695216259665,0.7599269161112194
Set_7,0.4710297543691378,0.7891431404641921
Set_8,0.4317714066302056,0.821063880245799
Set_9,0.6090554376555076,0.5872312861366338
Set_10,0.5350539217201413,0.7029413042130229
Set_11,0.4911762046196224,0.7970711643268884
Set_12,0.4537623760112274,0.8262231835719793
Set_13,0.3980003170048334,0.8192872286136785
Set_14,0.4697018049696724,0.6625046954080864
Set_15,0.3716523146982937,0.8577746985166194
Set_16,0.4631238062055319,0.7997999584812847
Set_17,0.5078030840760129,0.743025402892645
Set_18,0.4296652776422991,0.8240766303910335
Set_19,0.4982590368383414,0.6325537992085124
Set_20,0.4029238516912662,0.8329762312714457
Set_21,0.5476455205045039,0.7310742745999301
Set_22,0.3826115807736738,0.8634708161399403
Set_23,0.3802578413836779,0.8439097586177733
Set_24,0.3288494765002186,0.8763988942732472
Set_25,0.5240909641729186,0.6866461519832793
