Test_Set,RMSE,R2
Set_1,0.4861823329109828,0.7700615788312506
Set_2,0.5704507101845976,0.7200700186616535
Set_3,0.5202749504707689,0.7553785368467365
Set_4,0.4694431166715042,0.727715849511419
Set_5,0.4978221792992315,0.6563382066518777
Set_6,0.4801515847212245,0.7367976369895771
Set_7,0.3743701681174464,0.8668032989524133
Set_8,0.4556941538614215,0.8006863084752691
Set_9,0.461930625136688,0.762563917969745
Set_10,0.6325930897020494,0.5847629300853803
Set_11,0.5031698267902794,0.7870398796495022
Set_12,0.5338144113992139,0.75949980045208
Set_13,0.491829171950003,0.7240371703806581
Set_14,0.5108192094256,0.6008302073613434
Set_15,0.4300367749873061,0.8095791709517164
Set_16,0.5506551891907605,0.7169719741263929
Set_17,0.4614718734289201,0.7877781720009277
Set_18,0.5507375859038736,0.7109637278413278
Set_19,0.4939571337017541,0.6388713754541586
Set_20,0.4833149083680232,0.7596784319721528
Set_21,0.5487499879531267,0.729988441496354
Set_22,0.4299822915897736,0.8275709467493686
Set_23,0.4231198342431818,0.8067381206943539
Set_24,0.3973808742623965,0.8195146438077897
Set_25,0.5639991996120698,0.6371070325680908
