Test_Set,RMSE,R2
Set_1,0.1324725239651851,0.7954617090233622
Set_2,0.0905841676194357,0.8564936304946266
Set_3,0.1049104117418081,0.7497981642078777
Set_4,0.0971901392739717,0.809107265102134
Set_5,0.102673636093414,0.7750692099463347
Set_6,0.1034865436767721,0.7798042079694107
Set_7,0.1323880776049147,0.7648824661549503
Set_8,0.0935565701208305,0.8258991451125235
Set_9,0.0865238839059215,0.871390283585254
Set_10,0.100687105602259,0.8110810168697027
Set_11,0.0965436813162178,0.8289226035658721
Set_12,0.162644142503135,0.7205182409649393
Set_13,0.0786310403886969,0.7901219025820756
Set_14,0.0860977969838723,0.8453591910529866
Set_15,0.0919676251522197,0.8190278596443475
Set_16,0.098962954654195,0.7984835831445201
Set_17,0.155591963168228,0.7278000430780073
Set_18,0.0755250729563367,0.8276830120770032
Set_19,0.1166042800302613,0.8228856601042653
Set_20,0.0867516010981044,0.7561056472593273
Set_21,0.1330133082920031,0.7711124557159796
Set_22,0.0812656290735929,0.8512927980583046
Set_23,0.1104883566432298,0.7197998523702523
Set_24,0.0876104331784713,0.815904645637272
Set_25,0.1081155025862503,0.8397231926227547
