Test_Set,RMSE,R2
Set_1,0.1182700165768524,0.8369682024904488
Set_2,0.0741735572595296,0.9037801230040629
Set_3,0.085453461567974,0.8339982641606438
Set_4,0.082563427831121,0.862240857480705
Set_5,0.0908647385067678,0.8238341277784313
Set_6,0.0912766440891145,0.8286987294441686
Set_7,0.1135825814591824,0.8269344123653936
Set_8,0.0747961764976026,0.8887215366588656
Set_9,0.0782924049751945,0.8946969281974575
Set_10,0.0713617200804296,0.9051016832731305
Set_11,0.0857467751566272,0.8650476314265612
Set_12,0.1437943283193006,0.7815459391255862
Set_13,0.065472031943226,0.8544907107485691
Set_14,0.0698415764170132,0.8982421080331762
Set_15,0.0960890246543187,0.8024443963792329
Set_16,0.0803335749548216,0.867211852671306
Set_17,0.1225068325004676,0.8312536648491157
Set_18,0.0670407673222538,0.864223772186763
Set_19,0.0959293850628913,0.880125155389129
Set_20,0.0770177692251288,0.8077667008184898
Set_21,0.1069813264565581,0.8519365303435542
Set_22,0.0613037632864844,0.9153762098127216
Set_23,0.1019064231283966,0.7616372176705907
Set_24,0.0849928690112634,0.8267408595654909
Set_25,0.0989426341608405,0.8657662641497879
