Test_Set,RMSE,R2
Set_1,0.1295332651071505,0.8044374789994662
Set_2,0.0956972231210159,0.8398358719136565
Set_3,0.1039782066360764,0.754224858455084
Set_4,0.0826764907367367,0.8618633025777822
Set_5,0.1045250942039203,0.7668839629721661
Set_6,0.0988827940309112,0.7989598894928454
Set_7,0.1642793359343026,0.6379628572237406
Set_8,0.0809715677476465,0.8695880405190526
Set_9,0.0938208317626989,0.8487831001676552
Set_10,0.0780108251161465,0.8865935821114633
Set_11,0.1163972264022672,0.7513261126199444
Set_12,0.1602322358707681,0.7287458477119498
Set_13,0.0693723439424436,0.8366377082052501
Set_14,0.0918785002637489,0.8238965639477185
Set_15,0.0951110490997752,0.8064452976761927
Set_16,0.0980485723095929,0.8021902600663388
Set_17,0.146975382698559,0.7571137515797671
Set_18,0.0751907754847452,0.8292050938899377
Set_19,0.1020164187907307,0.8644295979659126
Set_20,0.1023940791267659,0.6602210750699764
Set_21,0.1211304538445761,0.8101814488051291
Set_22,0.0860351774470911,0.8333250554762914
Set_23,0.1121391384164761,0.7113644903127996
Set_24,0.122133416114861,0.6422330770349591
Set_25,0.1119934914219748,0.8280190639255921
