Test_Set,RMSE,R2
Set_1,0.1539395485669129,0.72380014361123
Set_2,0.105401875186179,0.8057042841706736
Set_3,0.1157051325091922,0.6956603013909446
Set_4,0.102273693679391,0.7886155711148622
Set_5,0.1205937356002223,0.6897009373343759
Set_6,0.1097441221659781,0.7523696608659047
Set_7,0.1391154047037146,0.7403802229224739
Set_8,0.0811843931186632,0.8689016219904121
Set_9,0.0972016240143116,0.8376886695907617
Set_10,0.088921076011754,0.8526543554357078
Set_11,0.1116684207227302,0.7711211366953562
Set_12,0.1555798008806663,0.7442691936004766
Set_13,0.0898740668158319,0.7258123241677238
Set_14,0.0831900079829864,0.8556281751014558
Set_15,0.1070658126161331,0.7547305759912997
Set_16,0.1116518146385513,0.7434944455653607
Set_17,0.1617301408965324,0.7058995530703172
Set_18,0.0887666699633074,0.7619623552152388
Set_19,0.1087956567868181,0.8458129476896524
Set_20,0.0962750016911576,0.6996181894230562
Set_21,0.1507275484495689,0.7060880155488787
Set_22,0.0696559239085737,0.8907467348310059
Set_23,0.1213152593730792,0.6621948747885253
Set_24,0.1159053645877305,0.6777906165083731
Set_25,0.1198805015564902,0.8029430371188088
