Test_Set,RMSE,R2
Set_1,17.147786428187327,0.3312409577059727
Set_2,17.80533990138022,0.0848060138650371
Set_3,18.96545993557644,0.2825333431596202
Set_4,25.679827639122774,0.1318624911952262
Set_5,21.985584236391876,0.2125318441710134
Set_6,20.353674955336928,0.1777775072477067
Set_7,18.178383851182733,0.5289218166510887
Set_8,15.676341799929189,0.3306241594173065
Set_9,19.98718055560984,0.1228346002790905
Set_10,24.06478161857645,0.1268811529037542
Set_11,16.22445460891155,0.0081693768786822
Set_12,18.13592090936036,0.2594071916617926
Set_13,24.38056581737721,0.2914905462842762
Set_14,19.482784560057688,0.3200870442089735
Set_15,23.59776821751757,-0.0048177040142349
Set_16,14.322662040646792,0.3744767527952786
Set_17,19.95432077797787,0.0357289455768715
Set_18,24.255930450492013,0.119546145999473
Set_19,17.484515915866417,0.551762790323769
Set_20,21.21936482377366,0.2778945357266421
Set_21,23.279613953068345,0.1186595642023932
Set_22,21.539340850389653,0.0547631748181393
Set_23,19.90640223339426,0.3441653367591303
Set_24,18.768493956404384,0.139574762378244
Set_25,19.40089225296257,0.0735129086029252
