Test_Set,RMSE,R2
Set_1,0.6930210130940667,0.6935949531935237
Set_2,0.5578614773228933,0.6564587413127402
Set_3,0.5886627075734532,0.6906703238368972
Set_4,0.7166707925754414,0.6211928923411706
Set_5,0.7027834405295361,0.4647049545983682
Set_6,0.6361339589937849,0.6459859314799721
Set_7,0.6601073958968289,0.5830226965298657
Set_8,0.7608552797213658,0.1595953599375145
Set_9,0.8992430984156748,0.5749141303421071
Set_10,0.5615865569628453,0.7880175704250614
Set_11,0.7680744635393346,0.5035659407882562
Set_12,0.5128943915493475,0.7792391855134009
Set_13,0.6423491325262698,0.6999649487867565
Set_14,0.761532263993632,0.5808976775739244
Set_15,0.4216055534971863,0.772120514900812
Set_16,0.3996905147969364,0.6210404275611305
Set_17,0.6389471788821152,0.6963602148935024
Set_18,0.9112080392987534,0.4768232371207599
Set_19,0.8517220470021364,0.5783311881373845
Set_20,0.6293153362898228,0.5927462934523385
Set_21,0.9784489929708876,0.4349048922037551
Set_22,0.5736699158593369,0.6365751395030671
Set_23,0.8541542674731284,0.5204443000157485
Set_24,0.6608108198435539,0.6490584324084316
Set_25,0.4086389238466529,0.5819832938369083
