Test_Set,RMSE,R2
Set_1,0.7025660965005124,0.6850964661994223
Set_2,0.4569767228680511,0.7694769520422633
Set_3,0.4804247676903618,0.7939657867706
Set_4,0.6311647719388398,0.7061916269940332
Set_5,0.4575923374848975,0.7730617824686035
Set_6,0.5079661487876864,0.774268098829695
Set_7,0.4935484407078808,0.7668997473340027
Set_8,0.4654476695045651,0.6854960928134624
Set_9,0.7891942538658058,0.6725911688065189
Set_10,0.4639935922326807,0.8552927241247239
Set_11,0.5687267583587787,0.7278161847314575
Set_12,0.5019756650503581,0.7885384432584
Set_13,0.5051652847689085,0.8144347123611313
Set_14,0.670208029961701,0.675389423334851
Set_15,0.3363707444436916,0.8549462492101524
Set_16,0.3137566704942953,0.7664762604341961
Set_17,0.5411653641174806,0.7821844944769782
Set_18,0.6679464781573536,0.7188767425464306
Set_19,0.6746673377049978,0.7354212269198851
Set_20,0.5435012825724332,0.6962407112384255
Set_21,0.6638768173028704,0.7398522181687424
Set_22,0.3818422420271141,0.838987920359064
Set_23,0.8215782347911328,0.5563255789173327
Set_24,0.5944473002791373,0.7160072533892046
Set_25,0.2981578913860916,0.777460708805545
