Test_Set,RMSE,R2
Set_1,0.7503850129966099,0.6407709456587108
Set_2,0.5282630706401052,0.6919461088967254
Set_3,0.5964023552002151,0.6824827948324392
Set_4,0.8458116461871775,0.4723742345709003
Set_5,0.5574974736075012,0.6631504695299388
Set_6,0.6251257047448877,0.6581322723106943
Set_7,0.6166275327824439,0.636144453654905
Set_8,0.6707907756537765,0.3467814630409566
Set_9,0.838235373031167,0.6306360212788413
Set_10,0.6261065322333911,0.7365107716362882
Set_11,0.7438077458437018,0.5344392412275631
Set_12,0.5702584420203854,0.7270962236817891
Set_13,0.6453508959654527,0.6971541854367955
Set_14,0.8853753196158476,0.433502194656673
Set_15,0.4548589416888339,0.7347557340289663
Set_16,0.4256768832294386,0.5701615742412076
Set_17,0.6976034326567708,0.6380521276657418
Set_18,1.0469390864303103,0.3093527613925237
Set_19,0.8413043498542623,0.5885833254050806
Set_20,0.6071521800702668,0.6209263977613027
Set_21,1.0724592917546512,0.3210985292699276
Set_22,0.6947790608704943,0.4669303485364675
Set_23,1.0572862341570886,0.2652295304836372
Set_24,0.6714382419191198,0.6376796883941447
Set_25,0.4463958105810354,0.5011680071611859
