Test_Set,RMSE,R2
Set_1,0.7253384738511837,0.6643516345701532
Set_2,0.739773568760967,0.3958792148064097
Set_3,0.6617141240081388,0.6091326910646484
Set_4,0.9982621277455784,0.2650329006157562
Set_5,0.5123813473983023,0.7154642719176354
Set_6,0.6993440424374908,0.5721366179295168
Set_7,0.7919982786918729,0.3997506552948732
Set_8,0.577903975877261,0.5151630739806743
Set_9,0.8214855264851868,0.6452501060246318
Set_10,0.6401494383629195,0.7245586131185713
Set_11,0.6733194724749201,0.6184976070387066
Set_12,0.6479577580600355,0.6476620074423681
Set_13,0.6650452992656211,0.6783880584638357
Set_14,0.8788554825435083,0.4418147137861783
Set_15,0.4870647683011389,0.6958652702070078
Set_16,0.3871361860634757,0.6444728821146487
Set_17,0.660357822704631,0.6756697809855652
Set_18,0.8762240815783152,0.5162246557342547
Set_19,0.875019719077725,0.5549473592869965
Set_20,0.7135461165621951,0.4764327073413069
Set_21,1.0470632617347428,0.3528707803174974
Set_22,0.617327425108131,0.5791555308575307
Set_23,0.8711636679062661,0.5011546401545415
Set_24,0.6319767484433487,0.6790164904416249
Set_25,0.3861119363424961,0.6268008632594881
