Test_Set,RMSE,R2
Set_1,0.3100049634952154,0.3669751496676189
Set_2,0.0374254482869151,0.9735174095274
Set_3,0.0291322476483444,0.9708837982597038
Set_4,0.0621891795259136,0.8871978161474485
Set_5,0.0734010452503983,0.8763575483570558
Set_6,0.0437544387164398,0.8868597267949822
Set_7,0.0642400488953685,0.9055650793253892
Set_8,0.0601996758526622,0.9454917228947898
Set_9,0.0604031677094939,0.9069904281220016
Set_10,0.2069310946296634,0.750335165604711
Set_11,0.0687193029648592,0.8334107461056932
Set_12,0.2292095747789184,0.7108971406170634
Set_13,0.060944588175756,0.8987144043426151
Set_14,0.049567090748796,0.9592068798621498
Set_15,0.0684079272826759,0.889199681777394
Set_16,0.027548594916079,0.9433382210886098
Set_17,0.2443703446041672,0.6472802850997179
Set_18,0.0643619170010444,0.8690045953691977
Set_19,0.0445397287040527,0.962475300347268
Set_20,0.0532800360979649,0.9242340944505696
Set_21,0.0527401370263598,0.9410991248411456
Set_22,0.0514538353628617,0.9012817945190548
Set_23,0.2703041857586358,0.4693229367997751
Set_24,0.0427344261609659,0.9346876150141976
Set_25,0.064405128728012,0.9211780307754032
