Test_Set,RMSE,R2
Set_1,0.2735322334956239,0.50716619725187
Set_2,0.0288479783214236,0.9842653455960336
Set_3,0.0272628086048577,0.974500719704226
Set_4,0.0568680796726178,0.9056753983361406
Set_5,0.0662211751134777,0.899363184587665
Set_6,0.0388498259069457,0.9108028161512134
Set_7,0.0581173156808574,0.9227084551015124
Set_8,0.0517084269402193,0.9597841917520856
Set_9,0.0555012190740755,0.9214740389032972
Set_10,0.1721545134075902,0.8272004162939106
Set_11,0.0674877624715811,0.8393282400753159
Set_12,0.1736096935536183,0.8341426137147488
Set_13,0.0531392954361904,0.922996763924846
Set_14,0.0399515871188137,0.9734986413863694
Set_15,0.0586509939828324,0.9185522863583202
Set_16,0.0254444211079116,0.9516633611146365
Set_17,0.2328566771681879,0.6797345248265335
Set_18,0.0509037738086916,0.9180595999988748
Set_19,0.0364311252099882,0.9748945933589684
Set_20,0.0477116552562981,0.9392433576589614
Set_21,0.0467380143112453,0.9537427559509516
Set_22,0.0471488247940239,0.917109742003955
Set_23,0.2560695677455206,0.5237437238571401
Set_24,0.0357447280903627,0.954305515180234
Set_25,0.0535232749424901,0.9455633071161368
