Test_Set,RMSE,R2
Set_1,0.4550180481436731,-0.3637686750909135
Set_2,0.0675602141907474,0.9137004605543682
Set_3,0.0781546389522843,0.7904458549217703
Set_4,0.1200798626029513,0.5794397539840046
Set_5,0.1464611962046532,0.5077244424290435
Set_6,0.0750432191707551,0.6671904116720309
Set_7,0.0619829931466886,0.9120843855567132
Set_8,0.0882591778450393,0.8828360768710908
Set_9,0.24888721456294,-0.5791135237344212
Set_10,0.3364767362146242,0.3398905549614748
Set_11,0.1563146097168739,0.1380369822696804
Set_12,0.5664461434632347,-0.7656479918793324
Set_13,0.0870832767518843,0.7932017222625387
Set_14,0.0870397218095378,0.8742132043184274
Set_15,0.0977376426457201,0.7738212163817573
Set_16,0.1439534258505303,-0.5471606862365195
Set_17,0.3276173933919101,0.366032949831311
Set_18,0.146539022833827,0.320946263352464
Set_19,0.0714002291291518,0.9035679288297264
Set_20,0.1006051811494083,0.729862042898782
Set_21,0.0945181511784864,0.8108223772336198
Set_22,0.3513300245868637,-3.6024830640327634
Set_23,0.3285550319888315,0.2159547977435609
Set_24,0.0889337333867792,0.7171392829690513
Set_25,0.099097942212379,0.8133896135852381
