Test_Set,RMSE,R2
Set_1,0.3612513100154366,0.1403881373717932
Set_2,0.0747556163185253,0.8943391588649967
Set_3,0.0630016409958841,0.8638273462333412
Set_4,0.124164161291933,0.5503441805612983
Set_5,0.5227385120715237,-5.270932084624845
Set_6,0.1098920751388209,0.2863164824169316
Set_7,0.1068536784111015,0.7387237817491118
Set_8,0.1383054215276268,0.7122915883936501
Set_9,0.1446308530422234,0.4667509704876476
Set_10,0.3396245305604861,0.3274819213352405
Set_11,0.1783127846106215,-0.1216424423238671
Set_12,0.3621996258936793,0.2780903413430474
Set_13,0.121194736067309,0.5994609552075952
Set_14,0.0933260442616752,0.8553875413468042
Set_15,0.0967316099708763,0.7784534369863169
Set_16,0.1332468514053048,-0.3255781070834704
Set_17,0.357989975083659,0.2430372379567198
Set_18,0.0923932269334897,0.7300534184980376
Set_19,0.0762347246607858,0.8900670313527346
Set_20,0.0948817438443427,0.7597240889973649
Set_21,0.1270823754180661,0.6580127020951326
Set_22,0.1138575358410783,0.5166238396107818
Set_23,0.4141537917914816,-0.2457994631388094
Set_24,0.1596358337066311,0.0886181842239794
Set_25,0.0996437318762632,0.8113284104709763
