Test_Set,RMSE,R2
Set_1,0.3199373003722058,0.8566049178160671
Set_2,0.4666215978013976,0.7827234589616443
Set_3,0.515164041658056,0.763080662530844
Set_4,0.8680489860158188,0.5991946465243054
Set_5,0.2911229974316625,0.856954363112409
Set_6,0.6999921626549579,0.7278622956970304
Set_7,0.372521188503161,0.8486098169091685
Set_8,0.2996427706636024,0.9055661969466058
Set_9,0.301859757865022,0.8098873110965887
Set_10,0.2751490563142336,0.9168653974737568
Set_11,0.4242124933727646,0.7316176046490082
Set_12,0.6644281209401908,0.7308280754767791
Set_13,0.2974944549472079,0.9184262692689164
Set_14,0.3794162753355944,0.8098449826496714
Set_15,0.3184128389791495,0.8919649279011571
Set_16,0.493434634140678,0.7309013318716753
Set_17,0.4752874487037823,0.5906862928571412
Set_18,0.7622566801077525,0.6886425541978034
Set_19,0.2989455334718832,0.8949876052287907
Set_20,0.4413759107650372,0.8039683229349714
Set_21,0.3295855443624272,0.8912326357758349
Set_22,0.3338038297836267,0.8443235794834595
Set_23,0.3769643667552946,0.8490584717296737
Set_24,0.4691020759778144,0.7107959377617603
Set_25,0.7742730444869204,0.6811155410823138
