Test_Set,RMSE,R2
Set_1,0.224760417154369,0.929230819861379
Set_2,0.3473386534218683,0.8796102815699383
Set_3,0.231842629864624,0.9520160523044447
Set_4,0.571916565929073,0.8260155646021032
Set_5,0.2726347195088614,0.8745461778178758
Set_6,0.5243900158283739,0.8472746404402208
Set_7,0.3657037805236945,0.854100210657231
Set_8,0.3169305809034676,0.894355196202159
Set_9,0.1979914059811448,0.9182112747684884
Set_10,0.2499911729044766,0.9313729845145968
Set_11,0.2256577253621532,0.9240570387462838
Set_12,0.5608448035832365,0.808213019847309
Set_13,0.2079383675654378,0.9601469290326256
Set_14,0.2227488259883666,0.9344599567208488
Set_15,0.3101170871975429,0.8975209707622536
Set_16,0.3320482653073035,0.8781418105656387
Set_17,0.1975818343124321,0.929264459963173
Set_18,0.5546732974319585,0.8351339361212347
Set_19,0.2575367047501281,0.9220646114460804
Set_20,0.3134859242610282,0.9011116701602224
Set_21,0.2729050119299848,0.9254263714416886
Set_22,0.2897493091902993,0.882703503683721
Set_23,0.2819376645833074,0.9155665904042054
Set_24,0.25999166588875,0.9111640905759808
Set_25,0.5513888218456106,0.8382810322744011
