Test_Set,RMSE,R2
Set_1,0.2924403891832139,0.8801938225381315
Set_2,0.471749709825973,0.7779215336475966
Set_3,0.5244680329299555,0.7544457637041211
Set_4,0.8118054595350533,0.6494507995785134
Set_5,0.3118919153775658,0.8358163867313397
Set_6,0.7280226692378856,0.7056309590761778
Set_7,0.3842452416463142,0.8389307037866913
Set_8,0.3115656207907158,0.8979016066878778
Set_9,0.3147159317076065,0.793348664154839
Set_10,0.2793043824641749,0.9143354250792628
Set_11,0.3923452688632827,0.7704253370562361
Set_12,0.6696392133610293,0.7265893198296294
Set_13,0.3151691938580288,0.9084454243754342
Set_14,0.3356306300434677,0.851201328857478
Set_15,0.3396311258302208,0.8770867846007736
Set_16,0.4055519812664978,0.8182203158468746
Set_17,0.4792829738512243,0.5837754905908639
Set_18,0.7767896203653047,0.6766569138917442
Set_19,0.3284200728325893,0.8732593815098287
Set_20,0.4594224052268017,0.7876103773264673
Set_21,0.3427789922683568,0.882350347874106
Set_22,0.3397679781583124,0.8387108648844067
Set_23,0.3885972963948836,0.8395987749359382
Set_24,0.5083812275431712,0.6603366332612901
Set_25,0.7785271174590126,0.6776018550397314
