Test_Set,RMSE,R2
Set_1,0.2659448962103289,0.900919589108428
Set_2,0.5452250550119505,0.7033565414449967
Set_3,0.4936828645855896,0.7824267531243589
Set_4,0.7502862723865684,0.7005674044026908
Set_5,0.3189835512899933,0.828265256801443
Set_6,0.7721677283727862,0.668849316557354
Set_7,0.3085662257792612,0.8961294260374072
Set_8,0.3901683982601501,0.8398879370403503
Set_9,0.3177979631606848,0.7892813940219824
Set_10,0.3776988628271585,0.8433475743643964
Set_11,0.3397145050380773,0.8278863878800601
Set_12,0.6778252995369247,0.7198637576561764
Set_13,0.5300112403330742,0.7410817072653328
Set_14,0.3108339811900686,0.8723758517233963
Set_15,0.513833607249355,0.718661844445574
Set_16,0.3738085566789542,0.845563211097406
Set_17,0.3242964917077371,0.8094415998121218
Set_18,0.7728340749136253,0.6799415465795082
Set_19,0.2982893365297083,0.895448111748446
Set_20,0.3629714334338163,0.8674273629722462
Set_21,0.4093090459474096,0.8322490533763617
Set_22,0.579789045227566,0.5303436137788542
Set_23,0.5324506274020933,0.6988611207413588
Set_24,0.2763231642254745,0.8996530294057119
Set_25,0.724547021596294,0.7207596169300685
