Test_Set,RMSE,R2
Set_1,0.5677285680078833,0.8908695027974383
Set_2,0.5180171478993033,0.8915547563518286
Set_3,0.453009755276471,0.8544184849052575
Set_4,1.033360337267578,0.7310435755717426
Set_5,0.410199357142438,0.8505006235090697
Set_6,0.4546410954854199,0.875857839531885
Set_7,0.5374467749589318,0.9145455923533704
Set_8,0.4578020870119668,0.8831220370436572
Set_9,1.142848684886654,0.684622123491395
Set_10,0.3833583017667402,0.8204193309605435
Set_11,0.459160346646334,0.9105004524181032
Set_12,0.4267935302060139,0.8404646014330626
Set_13,0.6598665263732151,0.8796987047542021
Set_14,1.1044743545819526,0.7029371128409294
Set_15,0.453234865084102,0.8709146123238412
Set_16,0.4011262073238837,0.8927513046023013
Set_17,0.4229600500898434,0.9533324702916064
Set_18,0.6109365381754488,0.7878039523428493
Set_19,1.1345602931172083,0.6752998547605747
Set_20,0.4276023154395627,0.8161794049725827
Set_21,1.106443078832703,0.6861624586296713
Set_22,0.4576912115734049,0.8911261983277692
Set_23,0.4481168255050638,0.8120622771481163
Set_24,0.4236167653139854,0.9257448728584216
Set_25,0.5754526587228713,0.9108851563259828
