Test_Set,RMSE,R2
Set_1,0.8367625494813108,0.7629341000261507
Set_2,0.5623184238554261,0.8722129402157558
Set_3,0.4672077912391313,0.8451499752211554
Set_4,1.0055000500583553,0.7453506693302929
Set_5,0.3567761320239708,0.886905622062218
Set_6,0.490362770244038,0.8555834718980317
Set_7,0.5984568704821593,0.8940430897897061
Set_8,0.5342584051273322,0.8408231790144034
Set_9,1.0259084214751175,0.7458612111736347
Set_10,0.5336838918713525,0.6519689196183656
Set_11,0.474216997002311,0.9045345285084648
Set_12,0.5370706240069482,0.7473704176107646
Set_13,0.6449997606863928,0.8850584063949147
Set_14,0.9227816584818964,0.7926352021107093
Set_15,0.5044904524632179,0.8400676327955937
Set_16,0.4553827647821101,0.8617761044746006
Set_17,0.590766899744657,0.9089566113464927
Set_18,0.7210746450412915,0.7043992437235769
Set_19,0.9942487645068576,0.7506453666599966
Set_20,0.5869190120919641,0.6536856983514232
Set_21,1.1126481428372084,0.6826325017735648
Set_22,0.6210742728983393,0.7995226577679215
Set_23,0.8015237627977907,0.3987373023995791
Set_24,0.4607344030736993,0.9121621997205104
Set_25,0.7360812066387351,0.8541916797022612
