Test_Set,RMSE,R2
Set_1,0.5151628884474275,0.8850816863335828
Set_2,0.6024906331407541,0.733111508147579
Set_3,0.5096498879785512,0.8450803936069422
Set_4,0.5729036618250163,0.8016198494960777
Set_5,0.8310593483701872,0.6609074237520083
Set_6,0.5593977536492692,0.8362160641081631
Set_7,0.7198329041824809,0.7521651170003417
Set_8,0.6347934172362822,0.7116561476540791
Set_9,0.4265656840314669,0.8936990414714878
Set_10,0.563760206834372,0.795337135318086
Set_11,0.7213309667209853,0.7274434064864204
Set_12,0.769022907164127,0.6808806723182128
Set_13,0.543647919132055,0.8327671461786503
Set_14,0.5727428201477199,0.7581990360964002
Set_15,0.4839166372125749,0.8471922361515909
Set_16,0.5114860481112843,0.829582608888823
Set_17,0.6102668399576848,0.7511818027484829
Set_18,0.7488535570519259,0.6783844221500106
Set_19,0.5328901893092169,0.8825555771409588
Set_20,0.4694806099652698,0.8389208460675209
Set_21,0.6256019337855916,0.803389252353956
Set_22,0.5845865741555909,0.7556156371709255
Set_23,0.5836639768691501,0.8102749772524762
Set_24,0.8857136790047222,0.5803671193248126
Set_25,0.5409746633098882,0.7875601443123728
