Test_Set,RMSE,R2
Set_1,0.5209542999957171,0.8824833616951551
Set_2,0.5772123593877663,0.7550370030497408
Set_3,0.4947951098630397,0.8539796670142366
Set_4,0.5128630162611976,0.8410217281940701
Set_5,0.5875475894716792,0.8303848835135412
Set_6,0.4712481158825516,0.8837670907954365
Set_7,0.646443322969501,0.7999828779018203
Set_8,0.5809604610921199,0.7584878300841872
Set_9,0.430306068132651,0.8918266460399551
Set_10,0.4938396857734822,0.8429556896206449
Set_11,0.6393800984771979,0.7858560758977956
Set_12,0.5748475100361171,0.8215678688079466
Set_13,0.5038898956364042,0.8563328555346124
Set_14,0.5300297517995829,0.7929194957136838
Set_15,0.3996664228280517,0.8957683448705461
Set_16,0.465277974360534,0.8589830503321767
Set_17,0.5786641589585142,0.7762846581467343
Set_18,0.6239830718274415,0.776543237879302
Set_19,0.4939341894216028,0.8990990796909677
Set_20,0.4613753852986071,0.844434653439675
Set_21,0.482361230146353,0.8831157784809633
Set_22,0.5054690049516036,0.8172889571498804
Set_23,0.5366152583992164,0.8396293601509041
Set_24,0.5686100072034337,0.8269272255591797
Set_25,0.4876855999374755,0.8273518140553703
