Test_Set,RMSE,R2
Set_1,0.4847666877013062,0.8982426842496851
Set_2,0.574263575831701,0.757533475598236
Set_3,0.5333239656827465,0.8303535641981803
Set_4,0.6297221564176799,0.7603193613075762
Set_5,0.8617024441273077,0.6351678463888
Set_6,0.5997327472498758,0.8117454957147356
Set_7,0.9110014782063892,0.602767814757281
Set_8,0.6369687805832653,0.7096765197058328
Set_9,0.4978958651181865,0.8551753809996001
Set_10,0.5433985223620649,0.8098540243715835
Set_11,0.7235812438722615,0.7257402146035627
Set_12,0.848805742352019,0.6109688549175025
Set_13,0.5318002320451389,0.8399767054185817
Set_14,0.5960649065915216,0.7381058314414131
Set_15,0.4220271836077807,0.8837788525505821
Set_16,0.4781318199227091,0.8510839106174322
Set_17,0.6399668635028012,0.7263738652418088
Set_18,0.9181532938430124,0.5161861683994535
Set_19,0.5738708011174957,0.8637974602254148
Set_20,0.4952311921829512,0.8207661634387422
Set_21,0.6247579889331623,0.8039193509371966
Set_22,0.5875195733906062,0.7531572300985627
Set_23,0.7056675187547645,0.7226685758975007
Set_24,0.8417554044957337,0.6207098299443545
Set_25,0.470459128606961,0.8393332705842178
