Test_Set,RMSE,R2
Set_1,0.5793686037042789,0.8546516802594736
Set_2,0.6744883754469041,0.6655138134762999
Set_3,0.593928045637651,0.7896075332557457
Set_4,0.5588643120971385,0.8112235677854275
Set_5,0.686870077826287,0.7683654176341059
Set_6,0.5393008744365293,0.847772850119609
Set_7,0.699388754631617,0.7660428434848333
Set_8,0.6704206656899104,0.6783817703558493
Set_9,0.6070781886860086,0.7846947546574077
Set_10,0.6179141873502986,0.7541294308459174
Set_11,0.7828922725887155,0.6789360445026469
Set_12,0.7422746649762737,0.7026938926858174
Set_13,0.6211012165176214,0.7817215301579314
Set_14,0.5952419309761184,0.7388285174854826
Set_15,0.5035395784835542,0.8345481843842768
Set_16,0.5358289334279117,0.8129754363481643
Set_17,0.6407035049595086,0.7257435854194462
Set_18,0.7949626087979564,0.6375595289535525
Set_19,0.5880411303109959,0.856988040961467
Set_20,0.5347753092982176,0.7909997937754711
Set_21,0.6163102971399289,0.8091861310438417
Set_22,0.5802913382235975,0.7591936605538145
Set_23,0.5992125321218836,0.80003195108714
Set_24,0.6888372508934726,0.7461857179746938
Set_25,0.6031054020698318,0.7359606930412911
