Test_Set,RMSE,R2
Set_1,0.2940222006931987,0.7185825460954548
Set_2,0.5105506251933969,0.5449018513881936
Set_3,0.8848612338866363,-0.5513875744138463
Set_4,1.5878345931979967,-1.4667275654786025
Set_5,0.532864724379189,0.2993863277989551
Set_6,1.0144769238063942,0.0962212341686582
Set_7,0.410634175933064,0.6523039786525295
Set_8,0.4134140001203011,0.6862696635588804
Set_9,0.2820400883071071,0.7187258506341114
Set_10,0.7877960470461197,-0.0484200042270901
Set_11,0.619490814924374,-0.541369268431307
Set_12,0.8928248831556125,0.3702742853548956
Set_13,0.3187365790013599,0.7966734959765333
Set_14,0.5033541613691489,0.369092623264795
Set_15,0.3878795487704692,0.7522044754009805
Set_16,0.5207405825413736,0.5135972202529235
Set_17,0.825084713630121,-1.4119588775735967
Set_18,1.26807264346685,-0.5143778108529458
Set_19,0.3217096857166983,0.7296794745354553
Set_20,0.4865786626069165,0.5491479032314581
Set_21,0.3034545670494739,0.823636136027639
Set_22,0.4588184555197154,0.3528185239884095
Set_23,0.454857586856057,0.6260812515864191
Set_24,0.6857375707646547,-0.1861074742890651
Set_25,0.9335471446877026,0.1473256905846193
