Test_Set,RMSE,R2
Set_1,0.3002698181467698,0.7064958480051233
Set_2,0.432934691506977,0.6727556899526799
Set_3,0.3202403086389111,0.7968008037503627
Set_4,0.7518438162600966,0.446948021761093
Set_5,0.3580635017353831,0.6836522854165471
Set_6,0.6521614201031586,0.6265022398759343
Set_7,0.3976474035385774,0.673948794211687
Set_8,0.3753357772456536,0.7414014289135311
Set_9,0.2644228617610501,0.7527672106543399
Set_10,0.3346463322616564,0.8108180291232399
Set_11,0.3626710195923078,0.4717217806506993
Set_12,0.7473100431630426,0.558815240133242
Set_13,0.2610627737820301,0.8635981955779677
Set_14,0.3874158828543204,0.6262569160548357
Set_15,0.3360773613762807,0.8139720905765658
Set_16,0.3667099088761908,0.758788283309475
Set_17,0.283567544668382,0.7151042337831213
Set_18,0.7278237090763834,0.5011173740176063
Set_19,0.306490380188833,0.7546509598770939
Set_20,0.4078123471088969,0.6832995226923942
Set_21,0.2615667856342871,0.8689649558236927
Set_22,0.4266653896633819,0.4403466360882621
Set_23,0.3860248125201418,0.7306873909494738
Set_24,0.3133076993820328,0.7524001941922313
Set_25,0.7264840671002092,0.4836277752098232
