Test_Set,RMSE,R2
Set_1,0.2394207725113125,0.8133987524745145
Set_2,0.4677110511498509,0.6180710385956456
Set_3,0.5086658686331041,0.4873332048985861
Set_4,1.0556089368390698,-0.0902266716709649
Set_5,0.3816094575882084,0.6406787920205481
Set_6,0.7634129191065825,0.4882041046458741
Set_7,0.3784041702037511,0.7047422094076217
Set_8,0.4905998930274078,0.5581843920716447
Set_9,0.2541524828564667,0.7715996421942948
Set_10,0.4069056369128849,0.7202983559626743
Set_11,0.4225509282398216,0.2828745771646247
Set_12,0.8699060119188744,0.4021895137059836
Set_13,0.2512567977277956,0.8736527306832345
Set_14,0.481894971429478,0.4217401123977377
Set_15,0.6015302330236686,0.4040434259943325
Set_16,0.4511948700987717,0.6348414989697759
Set_17,0.4510205690465284,0.27928153838337
Set_18,0.9196125371185728,0.2035550758361149
Set_19,0.4261060469260347,0.5257732342875917
Set_20,0.3127926168317015,0.8136879417521641
Set_21,0.2893995462078431,0.8395949783575358
Set_22,0.3919305434748696,0.5277602853490453
Set_23,0.4562378824785897,0.623808540569043
Set_24,0.2990900763034281,0.7743620363399063
Set_25,0.921432018934022,0.1693132467346403
