Test_Set,RMSE,R2
Set_1,0.1466568295126074,0.6511784552702196
Set_2,0.1079393969914087,0.6221800477669465
Set_3,0.1250373983784565,0.6104533471112835
Set_4,0.1637020769168005,0.5095476056061615
Set_5,0.1273167141462024,0.4833894316115263
Set_6,0.091022124441652,0.784755075413651
Set_7,0.1354357061176149,0.62887878580194
Set_8,0.1074152929110829,0.544873058507071
Set_9,0.1676188575011827,0.6008271141507768
Set_10,0.1224061650808744,0.7446422485502773
Set_11,0.1318261977919115,0.6628037977248131
Set_12,0.0874993185272453,0.8263966744010597
Set_13,0.1124650985641813,0.7918108144300484
Set_14,0.1508199306997955,0.574197271224863
Set_15,0.0677966196433494,0.8595569009147919
Set_16,0.0704745747602433,0.7389202055938271
Set_17,0.1359709967636884,0.647853366422005
Set_18,0.1563246356258684,0.5243913487803893
Set_19,0.1827803679575207,0.4869408872128491
Set_20,0.1258096726486516,0.6349409607153738
Set_21,0.1961899007666976,0.4663838718754577
Set_22,0.1395483269336779,0.3825249627056726
Set_23,0.1529404304084858,0.5159969655859795
Set_24,0.1057586147545955,0.7684317500942237
Set_25,0.1248659614922311,-0.0182425787433375
