Test_Set,RMSE,R2
Set_1,0.1016727458667318,0.8323483919625742
Set_2,0.0801090813912321,0.7918921481749159
Set_3,0.0811454938653429,0.8359378379014575
Set_4,0.1321189152601962,0.68053862188171
Set_5,0.0816060379890373,0.7877551185826477
Set_6,0.0881122532834802,0.7982973504825062
Set_7,0.0910549149499335,0.8322524415402521
Set_8,0.0722252076628755,0.7942319065177937
Set_9,0.1381659749518302,0.7287826466022037
Set_10,0.1030130462026251,0.8191465398283099
Set_11,0.0976905578021823,0.8148241592170711
Set_12,0.0832787325331811,0.8427404863850441
Set_13,0.1003766773198878,0.8341603725804516
Set_14,0.1401524188391846,0.6323013390765215
Set_15,0.0667341158344066,0.8639244540749219
Set_16,0.0605340198966587,0.8073773380988221
Set_17,0.098177300121611,0.816408252202161
Set_18,0.1565313119513572,0.5231328638921526
Set_19,0.1348527862170992,0.7207275714871639
Set_20,0.0930228039994807,0.8004214331468147
Set_21,0.1535307628410469,0.6732117364787518
Set_22,0.0747606258780064,0.8227786452284166
Set_23,0.1421419818668691,0.5819307505552952
Set_24,0.1021468232196133,0.7839784001958142
Set_25,0.0643100834377819,0.7299019933366386
