Test_Set,RMSE,R2
Set_1,0.1558931720127051,0.6058579259951877
Set_2,0.13374637247307,0.4199185398403952
Set_3,0.1172908740480086,0.6572258528848156
Set_4,0.1924463273333239,0.3221905527916192
Set_5,0.0978644124464748,0.6947594558810852
Set_6,0.0962083724352159,0.7595278874453076
Set_7,0.1281020177601963,0.6679822049186778
Set_8,0.1132500547067554,0.4940853318597921
Set_9,0.1567253793635876,0.6510253320592685
Set_10,0.1246936836541545,0.7350089026503002
Set_11,0.1458740783013774,0.5871090160198019
Set_12,0.1017768786166872,0.7651195008684964
Set_13,0.1281435530803066,0.7297185748728676
Set_14,0.1508081251827615,0.5742640231604341
Set_15,0.0966035190881198,0.7148521202833049
Set_16,0.0952976995063252,0.5226101512097933
Set_17,0.1176351925035661,0.7364242075222941
Set_18,0.1587502403619825,0.5095172421470611
Set_19,0.1666942603187184,0.5732736145160342
Set_20,0.1284511441586239,0.6194506388283201
Set_21,0.1941188949409966,0.4775902823747048
Set_22,0.131054059283706,0.4554081347935982
Set_23,0.1761821129449973,0.3577159761722119
Set_24,0.1153763792806962,0.7243986995257321
Set_25,0.0798322116617946,0.583783253276545
