Test_Set,RMSE,R2
Set_1,0.1586700067994997,0.5916915219023926
Set_2,0.1871412877717258,-0.1357013473847799
Set_3,0.1737772920638235,0.2475707496035041
Set_4,0.1925942993978222,0.3211476326487955
Set_5,0.1483311385431936,0.2987754641592571
Set_6,0.1344384637495766,0.5304454356046615
Set_7,0.1421096972645232,0.5914014169566773
Set_8,0.1255896850316699,0.3778311651949469
Set_9,0.1691527298567998,0.593488062472131
Set_10,0.1361338723843914,0.6841543802039152
Set_11,0.2082617974896746,0.1584141063999375
Set_12,0.1144018426510446,0.7032335931607882
Set_13,0.1733252356877863,0.5055228486017529
Set_14,0.1703892852590932,0.4565300586001648
Set_15,0.106491624362208,0.6534904355442159
Set_16,0.0885515175880529,0.5878072479520497
Set_17,0.1313309522245773,0.6714774653812461
Set_18,0.1758186873301014,0.3983762641268712
Set_19,0.1621208100428991,0.5963677662635745
Set_20,0.1181029767353463,0.678295800791938
Set_21,0.2055434089336124,0.4142898336003393
Set_22,0.1512973862826002,0.2741732197868745
Set_23,0.3104566782280653,-0.9943688443263354
Set_24,0.1214250654339725,0.6947440074847846
Set_25,0.1345843374334091,-0.1829112543816953
