Test_Set,RMSE,R2
Set_1,20.64827210577336,0.1198662649961124
Set_2,24.766134087826348,-0.0643936790826971
Set_3,21.421702828396025,0.2181979670709249
Set_4,23.826841133155988,0.0771946670824023
Set_5,17.942214121961232,0.0405220257110858
Set_6,26.094934747340243,0.0491760599428786
Set_7,25.42081543110579,-0.2846824248550053
Set_8,21.149907245480023,0.1215039299216199
Set_9,17.40841184548441,0.1776106341821216
Set_10,25.69352251926608,-0.1576404345402269
Set_11,23.15929474102365,0.0512093876391627
Set_12,22.38883433139668,0.1724979174879919
Set_13,21.930038679861077,0.0934754517169084
Set_14,20.44642672443743,0.0275015658356356
Set_15,23.75108673700977,0.052551433325396
Set_16,23.04077781137533,0.0732818764995069
Set_17,24.2681754129733,0.0874622300986611
Set_18,19.83993261481588,0.2045259948331047
Set_19,23.239379197693346,-0.2820094054328717
Set_20,22.76171000358515,0.0528690753644089
Set_21,25.07197640308589,-0.124981065182651
Set_22,28.756374814779644,-0.7127030819293063
Set_23,23.278782482577345,0.2994683757758619
Set_24,21.115651547073004,-0.077154649286383
Set_25,21.96946286021085,-0.0084743234425335
